Complex,VINA,GlideSP,GlideXP,MMGbsa,HPS,HMS,HSS,XAvg,XEner,DSX,RFScore
1jys,-4.1493,-5.97,-5.36,-24.11913398,-6.313688325,-6.589998536,-6.203164241,-6.368950367,-6.29,-47.634,-7.06773861015
1k9s,-9.2056,-9.44,-9.89,-65.36205017,-7.888656529,-8.261675314,-7.764316934,-7.971549592,-7.87,-113.278,-7.05333703741
1kv1,-9.0328,-8.7,-8.73,-93.17724609,-9.270207584,-10.32018639,-9.574148817,-9.726119433,-9.6,-121.931,-10.0631726282
1kv5,-5.2049,-8.64,-9.97,-25.30235456,-6.313688325,-6.769600173,-6.230795262,-6.43802792,-6.36,-48.74,-5.51360638017
1l2s,-6.8306,-7.6,-6.24,-53.82629371,-6.783415684,-7.695239381,-7.045910385,-7.17024998,-7.08,-75.201,-8.25007248272
1lol,-8.6472,-9.56,-13.27,-56.12281161,-7.197881001,-7.764316934,-7.142618958,-7.363667127,-7.27,-96.81,-6.83047619666
1loq,-7.1898,-9.81,-11.98,-47.97949474,-7.847209997,-8.579432056,-7.874841018,-8.095889187,-8,-90.933,-6.91668728529
1m0n,-6.2105,-8.32,-8.19,-31.93943834,-7.902472039,-7.985365103,-7.888656529,-7.91628755,-7.82,-88.175,-7.54711241512
1m0q,-6.3102,-8.34,-8.77,-29.01938712,-7.985365103,-8.372199398,-8.17878225,-8.17878225,-8.07,-103.46,-7.02803077418
1m2q,-9.1959,-6.5,-7.5,-51.93905446,-8.537985525,-8.91100431,-8.137335719,-8.524170014,-8.42,-68.638,-8.24202128027
1mq6,-9.8798,-9.31,-8.7,-106.44431,-9.739934943,-10.3340019,-10.04387618,-10.04387618,-9.91,-177.16,-10.1650542555
1n2v,-6.9727,-10.92,-10.46,-62.13220695,-7.059725895,-7.639977339,-7.156434469,-7.280774064,-7.19,-80.41,-6.46097708307
1nc1,-3.869,-9.76,-10.49,-76.03173553,-8.800480225,-8.786664715,-8.551801035,-8.717587162,-8.6,-112.279,-9.39595267736
1ndw,-7.0912,-8.98,-9.9,-74.86852325,-7.999180613,-8.109704698,-7.266958553,-7.791947955,-7.69,-70.392,-8.98591544847
1ndy,-8.427,-10.69,-11.54,-80.00723764,-8.67614063,-9.270207584,-7.985365103,-8.648509609,-8.53,-89.906,-10.2819028894
1ndz,-8.6906,-12.26,-13.63,-105.3476058,-9.836643517,-10.32018639,-9.546517796,-9.90572107,-9.77,-142.144,-10.1931633611
1nfy,-8.8071,-9.71,-8.39,-59.15938837,-9.532702285,-9.850459028,-9.270207584,-9.560333306,-9.43,-142.75,-11.2566053766
1nhu,-6.1378,-5.66,-4.97,-86.668133,-7.833394486,-9.960983112,-7.557084275,-8.455092461,-8.35,-85.668,-10.0075619746
1nja,-6.5693,-7.58,-8.72,-46.93055286,-6.880124258,-7.239327532,-6.797231195,-6.963017321,-6.88,-70.586,-7.05343686502
1nje,-6.7162,-7.76,-9.07,-42.03847026,-6.838677726,-7.197881001,-6.68670711,-6.907755279,-6.82,-70.145,-7.10168833145
1nny,-10.842,-10.16,-10.1,-71.13718021,-10.74846721,-11.82607704,-10.81754477,-11.13530151,-10.99,-204.332,-9.41983919672
1nvq,-13.339,-12.06,-12.38,-105.7312658,-10.72083619,-11.6464754,-10.26492434,-10.88662232,-10.74,-175.548,-9.54649991778
1o0h,-10.021,-9.83,-12.27,-78.47281019,-7.322220596,-7.695239381,-7.142618958,-7.377482638,-7.29,-101.412,-6.88438432652
1o3f,-6.431,-8.71,-9.84,-3.688993489,-8.593247567,-8.759033694,-8.938635331,-8.759033694,-8.65,-113.026,-7.82156501966
1o3p,-9.2178,-7.85,-9.39,-18.06281427,-8.220228782,-8.593247567,-8.717587162,-8.510354504,-8.4,-113.049,-8.75275594543
1olu,-7.4344,-7.99,-9.12,-97.05844084,-7.294589575,-7.791947955,-7.322220596,-7.460375701,-7.37,-78.032,-7.03547764562
1om1,-9.8354,-10.68,-10.19,-59.54710594,-9.546517796,-9.726119433,-8.607063078,-9.284023095,-9.17,-95.965,-9.88174895304
1p1q,-8.2264,-6.57,-9.17,-72.19139379,-7.709054891,-7.971549592,-7.736685912,-7.805763465,-7.71,-80.067,-9.3779435402
1pb9,-5.0172,-6.53,-4.67,-45.51592362,-6.548552004,-7.087356916,-6.534736494,-6.728153642,-6.64,-51.611,-7.57423540263
1pbq,-9.5183,-11.3,-9.89,-75.09918637,-7.861025507,-8.897188799,-7.999180613,-8.247859803,-8.15,-74.559,-7.05586781617
1ppm,-9.1377,-12.7,-10.43,-110.857282,-9.284023095,-11.05240845,-9.145867989,-9.822828007,-9.7,-166.531,-8.71877699129
1pr5,-7.6327,-7.7,-6.21,-34.39120655,-7.750501423,-7.888656529,-7.598530807,-7.750501423,-7.65,-94.923,-7.2557387761
1q7a,-5.9047,-4.53,-3.96,-30.481202,-8.303121845,-9.40836269,-8.41364593,-8.703771652,-8.6,-88.475,-8.39206067226
1q8t,-6.8958,-9.41,-9.04,-67.42215014,-7.91628755,-8.16496674,-8.137335719,-8.082073676,-7.98,-87.595,-9.4744724389
1re8,-13.514,-14.96,-17.59,-147.6678135,-11.3839807,-11.71555295,-11.27345662,-11.45305825,-11.31,-184.993,-9.41946309318
1rnt,-6.5919,-11.06,-13.82,-45.12828397,-7.391298149,-7.847209997,-7.294589575,-7.515637744,-7.41,-96.801,-7.83593852407
1s39,-7.5841,-9.87,-9.43,-47.39569539,-7.612346317,-8.330752866,-7.543268765,-7.833394486,-7.73,-77.088,-7.03260732478
1sl3,-12.921,-14.24,-15.96,-105.8492498,-9.670857391,-9.795196986,-9.753750454,-9.739934943,-9.61,-192.962,-10.7220434477
1slg,-5.3736,-9.62,-9.48,-78.88167278,-7.529453254,-8.275490824,-6.893939768,-7.570899786,-7.47,-112.635,-9.15700042982
1sqa,-8.466,-9.47,-8.16,-50.5091366,-8.980081863,-8.869557778,-9.353100648,-9.062974926,-8.95,-134.748,-10.5273493102
1sv3,-4.5843,-4.52,-2.73,-2.170180794,-6.548552004,-6.976832832,-6.396581388,-6.645260578,-6.56,-50.904,-6.60047107219
1syh,-10.046,-12.06,-13.72,-104.0855117,-8.510354504,-8.772849204,-8.482723483,-8.593247567,-8.48,-113.04,-8.44581821365
1tmn,-7.1197,-3.74,-6.79,-17.46574197,-8.897188799,-10.3340019,-8.786664715,-9.339285137,-9.22,-134.031,-10.0657967857
1trd,-4.472,-6.86,-5.8,-32.45019369,-6.327503836,-6.68670711,-6.216979751,-6.410396899,-6.33,-52.251,-8.06641063736
1tsy,-6.2831,-7.29,-9.56,-53.56960503,-7.032094874,-7.501822233,-6.990648342,-7.17024998,-7.08,-74.536,-6.88458050974
1ttm,-4.9244,-6.73,-5.51,-57.43024376,-7.598530807,-8.42746144,-7.377482638,-7.805763465,-7.7,-61.1,-8.79869941209
1u1b,-7.7453,-9.22,-8.53,-45.68723774,-8.386014909,-8.510354504,-8.026811634,-8.303121845,-8.2,-155.483,-8.46291394406
1u2y,-4.8874,-4.89,-5.81,-30.67681121,-5.95448505,-6.18934873,-5.802514434,-5.982116072,-5.91,-18.387,-6.79139230194
1u33,-7.5424,-7.09,-14.6,-52.43432422,-8.717587162,-8.993897373,-8.441276951,-8.717587162,-8.61,-131.974,-7.60746454099
1utp,-3.2349,-5.69,-4.79,-12.90881089,-6.355134857,-6.134086688,-6.534736494,-6.341319346,-6.26,-56.759,-6.45775131498
1uwt,-6.1948,-6.37,-8.42,-31.72297656,-6.728153642,-7.073541406,-6.617629557,-6.811046705,-6.72,-74.655,-7.06375468397
1v16,-8.0808,-6.87,-8.21,-18.03163696,-7.529453254,-7.999180613,-7.653792849,-7.722870402,-7.63,-79.663,-7.54052185739
1v2o,-5.9795,-8.89,-9.25,-61.06937639,-7.280774064,-8.026811634,-7.18406549,-7.501822233,-7.4,-96.534,-7.80774684626
1vfn,-5.452,-9.54,-9.89,-39.05424107,-6.465658941,-6.838677726,-6.396581388,-6.562367515,-6.48,-54.589,-6.37099991316
1vzq,-11.178,-12.93,-13.25,-104.0028361,-9.781381475,-9.988614133,-9.753750454,-9.850459028,-9.72,-167.655,-11.4414755917
1x1z,-9.0596,-10.28,-13.81,-45.62824654,-7.93010306,-8.689956141,-7.957734081,-8.192597761,-8.09,-102.504,-6.70386161484
1xd1,-8.0552,-9.25,-17.09,-105.6232769,-10.29255537,-10.52741905,-9.753750454,-10.19584679,-10.06,-221.52,-8.0016296848
1xgj,-5.9573,-8.4,-7.46,-39.02499369,-7.308405085,-7.819578976,-7.322220596,-7.474191212,-7.38,-65.656,-8.12111988872
1y1m,-6.5879,-7.77,-9.23,-50.31270043,-7.239327532,-7.833394486,-7.41892917,-7.488006722,-7.4,-71.496,-7.29548501855
1y6q,-9.3238,-12.79,-13.27,-116.5359594,-8.841926757,-8.800480225,-8.42746144,-8.689956141,-8.58,-122.228,-10.2394739629
1ydt,-8.9577,-10.07,-11.5,-70.25196745,-9.228761053,-9.491255753,-9.007712884,-9.242576563,-9.13,-123.28,-10.900755587
1zc9,-5.8247,-8.02,-8.99,-36.4833134,-6.714338131,-6.603814047,-6.68670711,-6.672891599,-6.59,-72.883,-6.59936026601
1zoe,-6.638,-5.3,-5.25,-76.70478288,-7.501822233,-8.828111247,-7.874841018,-8.068258166,-7.97,-58.694,-8.68178656905
1zs0,-8.8477,-10.5,-8.72,-35.79268626,-9.076790437,-9.1596835,-8.966266352,-9.062974926,-8.95,-149.631,-9.27177859215
1zvx,-8.953,-10.17,-9.43,-34.35849901,-9.17349901,-9.726119433,-9.187314521,-9.366916158,-9.25,-149.123,-9.27568313175
2aou,-8.8533,-9.5,-6.62,-38.9350656,-9.767565964,-10.63794313,-9.712303922,-10.04387618,-9.91,-118.444,-9.82056135839
2aov,-8.2651,-8.21,-7.23,-50.19029792,-8.192597761,-9.118236968,-8.275490824,-8.524170014,-8.42,-60.463,-8.4241092054
2ayr,-10.551,-12.88,-13.95,-133.1836591,-12.13001827,-12.77934727,-10.81754477,-11.9089701,-11.76,-182.282,-10.6070811608
2azr,-6.6007,-9.77,-10.3,-59.80255359,-7.529453254,-7.874841018,-7.211696511,-7.543268765,-7.45,-87.7,-6.87041293505
2b1v,-7.7819,-9.46,-10.12,-94.68468464,-9.187314521,-9.104421458,-8.41364593,-8.897188799,-8.79,-111.863,-11.5629882262
2b7d,-8.5078,-9.7,-13.87,-36.01132672,-9.339285137,-9.477440243,-9.201130032,-9.339285137,-9.23,-152.633,-10.9205256711
2bak,-10.722,-13.05,-14.88,-133.5571933,-11.49450478,-11.92278561,-11.17674804,-11.53595132,-11.38,-207.978,-9.10537321351
2bok,-9.5256,-13.67,-17.73,-109.233655,-8.814295736,-8.648509609,-8.92481982,-8.786664715,-8.68,-161.188,-9.76060139633
2brb,-8.1579,-8.26,-7.81,-67.37999414,-8.620878588,-9.795196986,-8.303121845,-8.91100431,-8.8,-110.729,-9.46270528518
2brm,-8.085,-9.07,-9.54,-64.9470332,-8.42746144,-9.394547179,-8.275490824,-8.703771652,-8.59,-111.293,-9.62586034886
2bz6,-10.29,-11.4,-11.96,-74.07379686,-8.648509609,-8.745218183,-8.772849204,-8.717587162,-8.61,-143.503,-9.38731140444
2bzz,-8.6502,-11.75,-17.71,-95.53141012,-7.985365103,-7.833394486,-7.377482638,-7.722870402,-7.63,-133.164,-9.10557597386
2c02,-6.7878,-7.67,-8.46,-41.77479432,-6.907755279,-7.087356916,-6.659076089,-6.880124258,-6.8,-61.986,-7.45238803361
2ceq,-5.4636,-7.54,-10.88,-60.39063067,-7.156434469,-7.598530807,-7.087356916,-7.280774064,-7.19,-73.03,-7.44022476898
2cer,-8.001,-9.22,-11.99,-65.2883927,-8.42746144,-9.297838606,-8.648509609,-8.786664715,-8.68,-112.788,-9.45702312156
2cet,-8.032,-8.05,-10.63,-28.92509021,-8.524170014,-9.380731669,-8.565616546,-8.828111247,-8.71,-111.801,-9.86866607744
2cgr,-9.834,-7.92,-8.14,-91.21209385,-8.869557778,-9.518886774,-8.91100431,-9.104421458,-8.99,-121.18,-9.53175908035
2ctc,-5.359,-8.39,-6.67,-34.79354487,-7.460375701,-7.902472039,-7.41892917,-7.598530807,-7.5,-55.098,-6.7563281203
2d0k,-7.7702,-7.81,-8.5,-57.24173674,-8.234044293,-8.828111247,-7.750501423,-8.275490824,-8.17,-98.48,-9.02643686079
2d1o,-7.4055,-12.07,-15.02,-107.6063964,-9.435993711,-10.44452598,-8.952450842,-9.615595348,-9.49,-176.871,-10.3026433528
2d3u,-8.4172,-8.77,-8.24,-84.67478928,-9.062974926,-9.643226369,-8.455092461,-9.049159415,-8.94,-104.353,-9.50916019449
2d3z,-8.2605,-10.55,-11.51,-86.73800134,-8.759033694,-9.297838606,-8.42746144,-8.828111247,-8.72,-102.445,-9.38033480187
2drc,-0.3475,-10.04,-10.25,-93.9833583,-8.565616546,-8.966266352,-8.026811634,-8.524170014,-8.42,-124.074,-9.48104674731
2er9,-7.9188,-16.27,-17.42,-119.2755861,-10.52741905,-12.11620276,-11.06622396,-11.23201008,-11.09,-247.652,-10.3861462274
2f01,-7.9034,-12.99,-14.58,-95.72203294,-8.095889187,-8.386014909,-7.833394486,-8.109704698,-8,-109.561,-9.2976612375
2f80,-9.128,-11.87,-11.84,-133.9875023,-10.11295373,-11.05240845,-9.89190556,-10.34781741,-10.22,-188.497,-12.5487068566
2fai,-8.0153,-9.34,-10.06,-96.26193689,-9.297838606,-9.449809222,-8.772849204,-9.17349901,-9.06,-115.225,-11.8747439718
2fdp,-10.566,-13.83,-15.69,-145.696202,-11.39779621,-12.47540603,-11.57739785,-11.81226153,-11.67,-223.715,-10.9855199822
2flb,-4.8133,-8.58,-8.32,-19.25003055,-8.510354504,-9.104421458,-8.883373289,-8.828111247,-8.72,-94.557,-9.43920701915
2g5u,-3.289,-3.27,-2.16,-42.6423249,-6.424212409,-8.551801035,-6.562367515,-7.18406549,-7.09,-36.715,-6.05221845711
2g8r,-6.4049,-7.51,-5.93,-6.712026351,-6.783415684,-6.838677726,-6.603814047,-6.741969152,-6.66,-70.862,-6.73045459807
2g94,-8.9946,-15.54,-17.08,-179.753676,-10.88662232,-11.88133908,-11.81226153,-11.53595132,-11.38,-242.356,-10.2405974563
2gss,-6.0907,-5.61,-5.53,-60.51789005,-6.741969152,-7.778132444,-6.769600173,-7.087356916,-7,-58.954,-7.13731143304
2h3e,-7.7499,-9.06,-13.29,-49.39935644,-7.446560191,-7.999180613,-7.488006722,-7.639977339,-7.55,-94.197,-7.20426651182
2hdq,-4.768,-8.15,-7.66,-33.9421515,-6.272241793,-6.728153642,-6.203164241,-6.396581388,-6.32,-37.596,-6.38249413087
2i0d,-9.7581,-12.96,-12.26,-127.0779606,-10.19584679,-11.19056355,-10.09913822,-10.49978802,-10.37,-201.916,-14.3272499635
2j77,-5.6894,-7.2,-9.13,-18.5832381,-7.197881001,-7.805763465,-7.197881001,-7.391298149,-7.3,-69.28,-7.43946215971
2j78,-6.7663,-7.5,-9.63,-48.17460916,-7.142618958,-7.709054891,-7.128803448,-7.336036106,-7.24,-71.647,-7.15818915905
2qwb,-7.3581,-7.52,-9.34,-13.20125324,-7.114987937,-7.460375701,-7.336036106,-7.308405085,-7.21,-58.555,-6.78719544218
2qwd,-6.9218,-7.12,-8.68,25.63100106,-6.9353863,-7.18406549,-7.087356916,-7.073541406,-6.99,-65.951,-6.48608696366
2qwe,-8.0782,-6.57,-13.26,16.52282737,-7.280774064,-7.515637744,-7.225512022,-7.336036106,-7.25,-84.854,-8.21619838735
2rkm,-6.5132,-6.78,-10.98,-55.40287906,-7.253143043,-6.949201811,-7.045910385,-7.087356916,-6.99,-101.21,-9.25325806848
2std,-9.6397,-9.23,-10.63,-117.0035839,-9.284023095,-10.23729332,-9.339285137,-9.615595348,-9.5,-98.342,-9.44438985737
2usn,-6.4671,-7.5,-7.55,-63.40092858,-8.316937356,-9.587964327,-7.999180613,-8.634694099,-8.52,-111.294,-9.73357105868
3gss,-7.7924,-10.16,-10.62,-100.5413623,-8.344568377,-9.17349901,-7.91628755,-8.482723483,-8.37,-126.4,-8.80291748848
3pce,-2.6121,-6.54,-6.19,-23.96811824,-7.128803448,-7.101172427,-6.949201811,-7.059725895,-6.97,-40.459,-5.82867294776
3pch,-2.5486,-6.76,-6.34,-41.00128132,-7.266958553,-7.999180613,-7.239327532,-7.501822233,-7.4,-37.863,-6.713572233
3pcj,-4.2477,-9.58,-9.05,-3.332894515,-6.9353863,-7.336036106,-6.68670711,-6.990648342,-6.9,-46.3,-7.56822691935
4er2,-7.0632,-10.18,-13.55,-134.0595426,-8.565616546,-10.44452598,-8.91100431,-9.311654116,-9.19,-189.748,-10.3662873907
4tim,-3.298,-8.75,-10.82,-7.031051814,-6.562367515,-7.004463853,-6.479474452,-6.68670711,-6.6,-39.344,-5.71409671529
4tln,-2.4622,-4.89,-4.31,-27.37100874,-6.230795262,-6.755784663,-6.548552004,-6.507105473,-6.43,-46.931,-7.29998804757
4tmn,-6.1603,-6.29,-6.68,-12.76523261,-9.684672901,-10.81754477,-9.850459028,-10.11295373,-9.99,-139.005,-8.43891496925
5er1,-5.8018,-5.42,-7.98,-84.67197072,-8.054442655,-9.187314521,-8.455092461,-8.565616546,-8.46,-144.603,-9.80819620881
6rnt,-6.8839,-7.7,-9.86,-53.9359171,-6.589998536,-6.824862216,-6.382765878,-6.603814047,-6.52,-80.785,-7.20598478446
6std,-9.9939,-9.81,-11.17,-120.1721001,-9.491255753,-10.62412762,-9.491255753,-9.864274538,-9.75,-105.791,-9.36264854709
7cpa,-8.512,-8.56,-11.37,-70.53916129,-9.739934943,-11.60502887,-9.629410859,-10.32018639,-10.2,-154.603,-9.28273135484
8cpa,-6.0132,-5.25,-6.3,-13.627,-8.91100431,-10.27873986,-8.938635331,-9.380731669,-9.26,-112.454,-8.66464916199
